VonC,0,3207,0
mpen,0,2653,0
Will,0,2265,0
polygenelubricants,0,1905,0
ghostdog74,0,1542,0
Daniel C. Sobral,781,0,0
ShreevatsaR,0,760,0
danben,0,746,0
Vilx-,697,0,0
ant,0,692,0
Diego Mijelshon,580,0,19
Tony Toews,0,571,0
Lieven Keersmaekers,446,0,35
The Archetypal Paul,406,0,56
Richard JP Le Guen,0,452,0
NibblyPig,0,443,0
Dummy00001,0,442,0
sipwiz,418,0,0
alternative,0,407,0
Russell,0,404,0
mplungjan,0,396,0
Neil Knight,0,390,0
greyfade,0,385,0
Frank Krueger,0,382,0
Victor Nicollet,347,0,0
Russell Dias,0,334,0
Danny Chen,0,328,0
Justin Grant,288,0,0
Sean Vieira,0,269,0
Hosam Aly,185,0,83
JAB,0,266,0
Sean Owen,262,0,0
plinth,0,258,0
maček,232,0,26
bdukes,0,251,0
Craig McQueen,206,0,44
Bernhard Vallant,0,238,0
Fyodor Soikin,0,237,0
dontWatchMyProfile,0,234,0
dpbradley,230,0,0
John Fouhy,0,227,0
Tim Bender,0,227,0
Joel Mueller,196,0,27
deft_code,208,0,0
Rasmus Faber,0,200,0
Karl,0,199,0
jamone,0,192,0
rem,0,191,0
Matthew Mitchell,0,191,0
Kiril Kirov,0,185,0
zachary,184,0,0
Keyo,0,184,0
nothrow,182,0,0
TheGeekYouNeed,0,179,0
Ian Oxley,154,0,22
Ian Elliott,0,174,0
Martin Harris,0,170,0
Adam Ramadhan,0,170,0
Donotalo,0,169,0
RobV,0,166,0
EmmyS,0,160,0
Robert,0,158,0
D3vtr0n,0,156,0
DonX,101,0,53
GWLlosa,0,151,0
JOTN,142,0,8
davidsleeps,0,142,0
dmp,0,142,0
gtrak,0,141,0
brainjam,140,0,0
X-Istence,0,138,0
craigmoliver,137,0,0
swilliams,0,136,0
scope_creep,115,0,20
sea_1987,121,0,8
zanlok,0,129,0
Dan,0,128,0
inspite,127,0,0
feroze,0,126,0
Bartek,125,0,0
Shadwell,0,125,0
Jakob Gade,0,124,0
Wade Mueller,0,122,0
Todd Owen,0,119,0
Petrogad,0,118,0
BrynJ,0,116,0
Mohammad Dayyan,0,116,0
Jacques René Mesrine,0,112,0
Brian Fisher,112,0,0
Paul Johnson,0,111,0
reisio,0,110,0
designer-trying-coding,109,0,0
SharePoint Newbie,0,108,0
raveren,108,0,0
Nick Moore,0,108,0
Dave Sims,0,107,0
Svein Bringsli,0,106,0
Timothy,0,106,0
Dave,0,105,0
akjoshi,103,0,0
